Event,Team,Robot weight,Red bumper weight,Blue bumper weight
2026incol,4926,111.5,12.9,12.7
2026incol,4982,104.6,12.1,12.7
2026incol,5010,109.9,17,17.2
2026incol,5188,110.1,10.5,10.7
2026incol,6498,109.4,12.5,12.7
2026incol,6956,112,14.2,14
2026incol,7457,113.5,15.9,16.2
2026incol,7657,98.9,10.2,10.1
2026incol,8103,103.3,14.1,14.1
2026incol,8116,102.4,16.1,16.6
2026incol,8430,77.4,16.2,16.2
2026incol,8431,84.4,11,11
2026incol,8432,74.6,12.1,12.1
2026incol,9071,91.8,11.8,11.9
2026incol,9119,78.9,14,14
2026incol,9431,104.6,12,11.9
2026incol,9491,87.2,9.4,8.2
2026incol,9790,94.7,5.9,5.8
2026incol,10021,113.2,10.9,10.1
2026incol,10172,67.4,16.2,16.2
2026incol,10411,103.3,15.8,15.8
2026incol,10434,69.1,12.3,12.3
2026inlaf,71,104.1,16.2,15.8
2026inlaf,135,112,14.6,14.7
2026inlaf,234,114.4,13.5,13.9
2026inlaf,292,114.8,15.6,15.7
2026inlaf,328,98.8,15.8,15.6
2026inlaf,461,113.1,16.5,16.6
2026inlaf,829,113.8,12.4,12.3
2026inlaf,1018,113.3,16.5,15.4
2026inlaf,1501,114.9,12.4,12.5
2026inlaf,1555,96.6,10.4,10.5
2026inlaf,1646,114.9,16.1,16.1
2026inlaf,1741,105.4,17,17
2026inlaf,2171,113.3,14.9,14.8
2026inlaf,2867,107.3,15.6,15.6
2026inlaf,3176,104.5,13.8,14.6
2026inlaf,3487,111.5,13.1,12.5
2026inlaf,3494,114.9,17.7,17.7
2026inlaf,3865,87.7,12.7,12.5
2026inlaf,4272,112,16.7,16.8
2026inlaf,4485,97.5,9.2,9.2
2026inlaf,4580,92.3,13.7,14.2
2026inlaf,4982,107.2,12.1,12.7
2026inlaf,5402,110.9,13.8,13.8
2026inlaf,6721,110.3,14.9,15.1
2026inlaf,6956,104.8,14.2,14
2026inlaf,7198,84.9,12.3,12.8
2026inlaf,7457,113.6,15.5,16.2
2026inlaf,7477,98.6,15.6,15.6
2026inlaf,7617,111.2,13.8,14
2026inlaf,7695,60.2,11.9,11.9
2026inlaf,8742,108.2,14.5,14.5
2026inlaf,9530,57.5,14.4,14.4
2026inlaf,10021,114.3,10.6,10.5
2026inlaf,10172,67.8,16,16
2026inlaf,10332,108.6,13.4,13.3
2026inmis,45,112.2,16,16
2026inmis,71,101.4,16.2,15.8
2026inmis,135,106.1,14.7,14.8
2026inmis,328,92.1,15.8,15.6
2026inmis,447,113,12.2,12.2
2026inmis,461,113.7,16.4,16.5
2026inmis,829,112.7,12.2,12.2
2026inmis,1024,111.6,12.5,12.4
2026inmis,1501,112.5,12.3,12.3
2026inmis,1555,92.5,10.3,10.3
2026inmis,1646,114,16.2,16.2
2026inmis,2197,111.6,11.5,11.7
2026inmis,2867,104.7,15.6,15.6
2026inmis,3147,99.3,13.7,13.2
2026inmis,3176,104.5,13.6,14.7
2026inmis,3494,111.5,23,23
2026inmis,3865,80.2,12.6,12.5
2026inmis,3936,82.4,12.6,12.6
2026inmis,3940,114.3,13.1,13.1
2026inmis,4272,114.7,16.7,16.8
2026inmis,5010,110.7,16.7,16.9
2026inmis,5402,114.8,13.9,13.9
2026inmis,5484,113.4,10.9,10.6
2026inmis,6721,113,14.8,15.1
2026inmis,7457,114.9,16,16.2
2026inmis,7477,96.9,16.4,16.4
2026inmis,8103,108.3,14.1,14.1
2026inmis,8431,89.6,10.7,10.7
2026inmis,8432,74.7,12,12
2026inmis,9071,88.1,15,15
2026inmis,9119,87.2,14.2,14.2
2026inmis,9431,101.9,12.1,11.9
2026inmis,9453,67,11.3,11.3
2026inmis,9530,60.3,14.5,14.5
2026inmis,9554,114.9,11,11
2026inmis,10029,98.1,9.8,10.3
2026inmis,10332,63.9,13,12.8
2026inmis,10411,101.7,15.5,15.8
2026inmis,10434,75.3,10.3,10.5
2026inwas,234,114.4,13.4,13.9
2026inwas,447,114.4,12.2,12.2
2026inwas,761,107.2,10.9,11.3
2026inwas,868,112.1,12.1,12.1
2026inwas,1720,110.7,12.7,12.7
2026inwas,1747,111.6,12.8,13
2026inwas,2197,109.5,11.8,11.9
2026inwas,3559,105,9.5,9.6
2026inwas,3940,113.9,13.3,13.2
2026inwas,4485,97.5,9.4,9.5
2026inwas,4926,113.9,12.8,12.8
2026inwas,5188,110.2,10.7,10.8
2026inwas,5484,113.4,11.1,11.3
2026inwas,6498,109.1,12.5,12.7
2026inwas,7198,95.3,12.4,12.9
2026inwas,7617,112.9,13.7,14
2026inwas,7657,100.3,10.1,10.3
2026inwas,8116,102.7,16.2,16.7
2026inwas,8430,81,16.4,16.3
2026inwas,8742,108.4,14.7,14.7
2026inwas,9453,82.2,10.9,11.4
2026inwas,9491,82.6,9.5,8.3
2026inwas,9554,110.1,11.6,11.4
2026inwas,9790,107.5,6.1,6.1
2026inwas,10029,93,12.4,12
2026ksla,757,101.1,12.1,12.3
2026ksla,935,111.9,10.3,10.2
2026ksla,937,99.2,9.2,9.2
2026ksla,1723,105.1,7.2,8.9
2026ksla,1730,113.6,11.5,10.9
2026ksla,1763,96.2,11.3,11.3
2026ksla,1764,115,15.7,15.7
2026ksla,1769,95.4,11.8,14.1
2026ksla,1775,98.5,12.7,12.3
2026ksla,1802,101.8,15.1,14
2026ksla,1810,114.2,15.2,15.2
2026ksla,1825,102.8,16.5,16.5
2026ksla,1847,115,13.5,13.5
2026ksla,1986,112,10.7,10.6
2026ksla,1987,112.8,18,17.8
2026ksla,1994,94.2,15.6,15.6
2026ksla,2345,109,11,11.5
2026ksla,2357,111.8,14.3,14.4
2026ksla,2410,111,12.4,12.4
2026ksla,2457,96,9.9,9.9
2026ksla,4418,107,12.2,12.2
2026ksla,4809,103.8,11.9,12.1
2026ksla,4959,100.8,14.3,14.3
2026ksla,5013,114.1,12.5,12.5
2026ksla,5098,89.4,15.7,15.7
2026ksla,5119,113.5,13.5,13.8
2026ksla,5126,114.6,9.8,9.9
2026ksla,5141,103.4,9.4,9.4
2026ksla,5147,90,12.8,15.7
2026ksla,5189,79.2,9.5,9.5
2026ksla,5268,67.7,10.1,10.7
2026ksla,5801,112.6,9.5,9.5
2026ksla,6843,101.2,13.9,13.9
2026ksla,8825,106.1,11,9.6
2026ksla,9126,110.2,12.6,12.6
2026ksla,9316,112,13.2,13.2
2026ksla,9410,114.8,13.4,13.2
2026ksla,9445,113.4,11.9,11.9
2026ksla,9551,109.8,12.5,11.6
2026ksla,10453,103.9,13.3,13.3
2026ksla,10682,55.3,11.5,11.6
2026lake,16,114.2,11.9,12
2026lake,364,107,14.6,11.6
2026lake,456,110.5,13.7,13.9
2026lake,1421,103.5,8.1,8.1
2026lake,1818,70,13.9,13.9
2026lake,1902,107.6,17,16.3
2026lake,2080,103.8,11.9,11.7
2026lake,2183,114.5,11,11.6
2026lake,2221,63.6,14.4,15.3
2026lake,2992,111.2,12,12.3
2026lake,3039,103.4,11.5,11.2
2026lake,3284,103.6,18.8,18.7
2026lake,3468,78.9,9.9,10
2026lake,3478,111.7,13.8,13.9
2026lake,3616,114.1,15,13.6
2026lake,3753,101.7,10.2,10.2
2026lake,3824,100.8,11.4,11.5
2026lake,3937,114.7,12.7,12.8
2026lake,4087,102,12.6,12.6
2026lake,4336,114.8,12.2,12.4
2026lake,4635,113.3,21.7,21.2
2026lake,5705,110.2,11.1,11.4
2026lake,5863,96.2,9.1,9.4
2026lake,5887,98.7,10,9.9
2026lake,5965,55.4,10.4,10.2
2026lake,6068,73.2,12.5,12.2
2026lake,6489,88.9,11.6,11.3
2026lake,7072,101.8,13.7,13.2
2026lake,7094,104.9,12.1,12.2
2026lake,7288,62.4,13.1,13.1
2026lake,8044,112.4,9.2,9.1
2026lake,8808,112.9,13.3,13.5
2026lake,9309,87.6,13.7,13.6
2026lake,9313,69.4,8.6,8.6
2026lake,9405,94.6,14.8,14.9
2026lake,9456,66.6,10.6,13.4
2026lake,9660,62.2,9.6,9.6
2026lake,9699,63.2,15.1,14.2
2026lake,9708,59.3,14.2,14.2
2026lake,9717,96.3,11,10.9
2026lake,9761,64.3,11.4,11.8
2026lake,9768,75,9.9,9
2026lake,9787,105.9,13.3,12.9
2026lake,10101,114.2,10.7,10.7
2026lake,10217,87.4,14.6,15.2
2026lake,10446,63.3,8,8.3
2026lake,10497,57.4,13.9,13
2026lake,10550,62.6,15,15
2026lake,10929,63.8,11.7,12.4
2026lake,10943,67.9,11.3,10.6
2026lake,11260,63,12.1,12.1
2026lake,11276,63.7,10,10.5
2026lake,11342,61.7,9.2,8.9
2026mawor,97,98,8.2,8.3
2026mawor,157,113.7,10.7,10.7
2026mawor,190,113.5,16.6,16.7
2026mawor,237,92.8,13.1,13.1
2026mawor,348,100.5,8.8,8.8
2026mawor,467,112.3,14.7,14
2026mawor,716,64,9.2,10.4
2026mawor,999,113.7,13.7,12.3
2026mawor,1027,113,16.6,16.6
2026mawor,1100,102.6,15.7,15.5
2026mawor,1474,102.2,9.8,9.8
2026mawor,1740,106.4,13.6,13.6
2026mawor,1757,107.4,10.6,10.6
2026mawor,1768,104.8,14.2,13.9
2026mawor,2079,113.6,14,14.1
2026mawor,2168,105.6,9.9,10
2026mawor,2262,88.6,10.3,10.3
2026mawor,2370,103,11,10.8
2026mawor,3205,100.6,9.3,9.8
2026mawor,3467,111.3,17.1,17.1
2026mawor,3634,107.2,13.1,13.1
2026mawor,4048,110.7,11.5,11.5
2026mawor,4628,55.5,9,8.3
2026mawor,5000,114.8,17.5,17.8
2026mawor,5112,108.3,11.1,11
2026mawor,5347,101.4,11.7,11.7
2026mawor,5422,113,10.5,10.5
2026mawor,5491,112.9,10.7,11.9
2026mawor,5494,112.9,10.7,11.9
2026mawor,6333,110.9,10.6,10.3
2026mawor,6762,62.3,9.8,9.8
2026mawor,7760,77.8,9.7,9.1
2026mawor,8544,110.3,11.4,11
2026mawor,8567,101.3,14.6,13.1
2026mawor,8724,113.9,14.4,14.4
2026mawor,9644,100.6,11.2,11
2026mawor,10254,114.8,12.7,13.6
2026mawor,10393,74,12,12
2026mawor,11483,77,17.2,19
2026mdbet,116,113.4,9.4,9.5
2026mdbet,449,113.1,11.8,11.9
2026mdbet,888,96.6,13.3,13.3
2026mdbet,1389,111.3,14.2,15.2
2026mdbet,1446,64.8,10.3,9.6
2026mdbet,1727,106.7,11.7,11.9
2026mdbet,1731,114.2,12,11.9
2026mdbet,2186,98.7,12.9,13.2
2026mdbet,2421,94,12.5,12.5
2026mdbet,2537,90.9,15,14.8
2026mdbet,2900,78.9,8.4,8.2
2026mdbet,2912,73.5,7.1,7.5
2026mdbet,2914,82.4,9.9,7.9
2026mdbet,2988,60.8,10.6,10.6
2026mdbet,3373,93,9,8.9
2026mdbet,3714,65.8,9.8,9.8
2026mdbet,4456,104.9,14.5,14.7
2026mdbet,4464,73.5,8.8,9.3
2026mdbet,4472,114.1,12.6,12.3
2026mdbet,4638,104.1,12.3,11.6
2026mdbet,4821,87.6,12.3,12.4
2026mdbet,5243,114.4,10.5,10.3
2026mdbet,5338,106.5,15,15
2026mdbet,5353,79.6,11.1,10.8
2026mdbet,5549,99.5,10.4,10.4
2026mdbet,5587,95.1,10.5,10.8
2026mdbet,5841,60.1,15.2,15.2
2026mdbet,6239,102.1,12.7,12.7
2026mdbet,6882,67.5,14.5,14.2
2026mdbet,7886,57,14.5,12
2026mdbet,8590,78.7,15,14.7
2026mdbet,11211,64.6,5.7,5.7
2026mdbet,11318,73.3,12.6,12.7
2026mdpas,614,113.1,13.4,14
2026mdpas,623,95,9.1,9.1
2026mdpas,686,107.9,18.8,18.8
2026mdpas,836,108.3,13,12.6
2026mdpas,888,94.4,13.4,13.4
2026mdpas,1111,92.3,10.1,10
2026mdpas,1418,114.3,12.9,10.9
2026mdpas,1629,101.2,14.4,14.7
2026mdpas,1719,82.8,11.9,11.8
2026mdpas,2199,111.5,10.3,10.8
2026mdpas,2421,81.6,12.1,12.1
2026mdpas,2537,91.3,13.4,13.2
2026mdpas,2849,77.1,7.7,7.7
2026mdpas,2900,75.8,8.5,8.3
2026mdpas,3748,115,13.5,13.5
2026mdpas,4464,71.8,8.8,9.2
2026mdpas,4505,106.2,12.7,12.7
2026mdpas,4541,98.2,11.3,11.3
2026mdpas,4821,101.1,12.1,12.1
2026mdpas,5115,81.5,10.6,10.4
2026mdpas,5830,88.1,10.2,10.2
2026mdpas,5841,37.7,13.9,15.2
2026mdpas,6239,97.6,12.7,12.7
2026mdpas,6326,38.2,9.5,9.7
2026mdpas,6863,99.6,12.1,10.8
2026mdpas,7770,103.8,15.9,15.9
2026mdpas,7886,51.5,14.5,12
2026mdpas,8590,82.3,15,14.5
2026mdpas,8622,83.8,10.3,10.3
2026mdpas,8726,110.1,12.5,12.7
2026mdpas,9033,88.6,14.7,14
2026mdpas,9072,114.9,17,17
2026mdpas,10679,59.9,12.4,12.4
2026mdpas,11350,61.4,9.2,8.9
2026mdsev,339,99.3,10,9.7
2026mdsev,614,114.6,14.1,14.6
2026mdsev,623,102.9,9.1,9.1
2026mdsev,686,103.7,18.6,18.5
2026mdsev,836,99.8,12.7,12.3
2026mdsev,1111,96.1,10,10
2026mdsev,1389,112.7,14,15
2026mdsev,1418,105.5,12.5,10.4
2026mdsev,1446,66.4,10.4,9.9
2026mdsev,1629,102.3,15,14.7
2026mdsev,1719,85.7,13.5,13.5
2026mdsev,1727,110.6,11.5,11.7
2026mdsev,1915,92.3,13.1,13.3
2026mdsev,2199,112.4,9.8,10.4
2026mdsev,2377,115,16.4,16.2
2026mdsev,2534,54.7,13.1,13.1
2026mdsev,2849,75.9,9.8,9.8
2026mdsev,2912,77.8,7.3,7.8
2026mdsev,2914,89.8,9.9,7.8
2026mdsev,2963,83.3,9.5,9
2026mdsev,3714,77.2,10.7,10.7
2026mdsev,3748,114.2,13.8,13.8
2026mdsev,4505,107.3,12.6,12.6
2026mdsev,4541,103.2,11.6,11.6
2026mdsev,6863,92.2,12.1,12.1
2026mdsev,7770,109.5,13.9,14.6
2026mdsev,8592,113.6,17.6,17.7
2026mdsev,8622,75.5,10.6,10.6
2026mdsev,8726,112.2,12.8,12.8
2026mdsev,9033,92.4,14.8,14.2
2026mdsev,10449,58.2,8.6,9.3
2026mdsev,10679,73.4,12.4,12.4
2026mdsev,11211,51,8,8
2026mdsev,11318,69.8,12.6,12.7
2026mdsev,11350,63.5,9.3,9.5
2026mibat,1502,108.7,13.8,13.8
2026mibat,2767,113.5,13.9,15.9
2026mibat,3234,105.2,11.5,11.8
2026mibat,3658,104.9,12.1,12.1
2026mibat,4237,109.8,11.9,11.9
2026mibat,4453,98.7,14.1,14.1
2026mibat,4568,66.1,11.1,11.1
2026mibat,4810,105.9,13.1,13.1
2026mibat,4855,112.1,14.8,14.8
2026mibat,5150,114.1,11.6,11.6
2026mibat,5152,104.6,7.5,7.5
2026mibat,5227,78.9,10,10.5
2026mibat,5248,93.4,11.7,11.7
2026mibat,5462,88,9.9,9.9
2026mibat,5538,108.8,15.2,15.2
2026mibat,5577,110.6,14,14
2026mibat,5675,114,12.8,12.7
2026mibat,6002,102.9,12.9,13.3
2026mibat,6556,73.6,12.7,12.7
2026mibat,6588,64.6,11.4,11.2
2026mibat,7211,112.1,14.1,14.1
2026mibat,7865,78.8,13.5,12.7
2026mibat,8126,97.8,14.6,14.6
2026mibat,9205,45.3,6.7,9.9
2026mibat,9215,104.5,10.5,10.5
2026mibat,9239,67.4,11.2,11.5
2026mibat,9672,55.2,2.7,9.5
2026mibat,9703,63.6,10.4,10.6
2026mibat,9743,106.3,10.9,10.7
2026mibat,9758,96.2,9.6,9.5
2026mibat,9776,62.1,9.1,8.4
2026mibat,10651,71.6,9.7,9.9
2026mibat,10654,102.7,10.2,10.1
2026mibat,11407,62.3,9.8,9.7
2026mibat,11423,54.7,6.8,10.8
2026mibat,11431,62.3,11.6,11.6
2026mibat,11460,62.9,10.1,9.8
2026mibat,11496,63,9.9,9.7
2026mibat,11511,62,7.9,8.1
2026mibel,66,105.7,12.5,12.4
2026mibel,94,61.6,10.9,10.2
2026mibel,245,113.7,13.4,13.4
2026mibel,1188,111.5,13.2,12.8
2026mibel,1250,114.9,17,16.8
2026mibel,1528,38.3,9,9.4
2026mibel,1701,112,8.9,9.2
2026mibel,3098,99.8,9.4,9.5
2026mibel,3641,113.4,13.9,13.8
2026mibel,3656,113.7,10.1,10.3
2026mibel,4391,112.8,13.5,13.5
2026mibel,4395,73.7,13.2,12.1
2026mibel,4405,100.5,16.6,16.5
2026mibel,4737,79.8,11.6,11.3
2026mibel,5053,112,12.3,12.3
2026mibel,5067,81.5,11.4,11.1
2026mibel,5263,69.3,10.4,10.4
2026mibel,5498,97,11.9,10.7
2026mibel,5708,107.3,13.6,13.5
2026mibel,6029,100.6,18.7,18.7
2026mibel,6120,112.9,20.3,20.3
2026mibel,6190,74,13.2,13.2
2026mibel,6344,112.7,12.2,12.2
2026mibel,6528,103.3,11.6,11.6
2026mibel,6538,102.1,12.9,12.9
2026mibel,6615,108.4,13.4,12.9
2026mibel,6618,72.6,11.9,11.6
2026mibel,7220,104.8,11.3,12.1
2026mibel,7247,40.8,11.1,11.1
2026mibel,8373,112.6,10.2,10.5
2026mibel,8623,40.2,13.6,13.6
2026mibel,8832,85.7,12,10.9
2026mibel,9204,90.4,14.1,12.3
2026mibel,9455,107.5,9.9,9.9
2026mibel,9735,62.8,9.7,9.1
2026mibel,9751,99.3,18.6,18.6
2026mibel,10656,76.2,13.5,13.6
2026mibel,10672,70.7,9.3,9.2
2026mibel,11505,61.3,10.3,10.3
2026miber,74,103.9,18,18
2026miber,302,113.2,11.8,11.8
2026miber,503,114.3,13.8,13.8
2026miber,1504,85.1,16,15.4
2026miber,1940,52.7,10.8,11.3
2026miber,2604,58.8,10.8,10.8
2026miber,2959,114.2,10.2,9.4
2026miber,2960,112.3,12,12.1
2026miber,3452,105.8,12.4,11.8
2026miber,3620,114.7,17.2,17.2
2026miber,4237,108.3,11.9,11.9
2026miber,4325,100.1,9.4,9.4
2026miber,4855,112.5,14.5,14.5
2026miber,5182,63.1,8.1,8
2026miber,5227,74.6,9.8,10.4
2026miber,5462,86.8,10.2,10.1
2026miber,5535,108.1,14.1,13.7
2026miber,5927,99.2,10,10
2026miber,6002,97.3,13.2,13.6
2026miber,6548,110.4,13.7,13.7
2026miber,6588,64.4,11,10.9
2026miber,7203,82.5,12.7,12.7
2026miber,7809,82.5,20.8,20.8
2026miber,7814,78.7,12.2,12.2
2026miber,9182,109.5,14.8,14.8
2026miber,9208,108.1,11.4,11.4
2026miber,9549,79.7,11.2,11.2
2026miber,9758,87,9.5,9.4
2026miber,10473,96.1,11.8,11.8
2026miber,10633,98.7,18,18
2026miber,10642,68.8,10.3,10
2026miber,10666,112.9,11.6,11.8
2026miber,11399,109.1,13,12.6
2026miber,11431,62.3,11.9,11.9
2026miber,11491,62.6,10.7,10
2026miber,11511,64.2,7.8,8.4
2026mibig,244,113,12,11.4
2026mibig,288,115,11.8,11.2
2026mibig,1718,111,11.3,11
2026mibig,1918,109.9,13.7,14.2
2026mibig,3603,113.6,11.9,12.1
2026mibig,3618,102.8,9.8,9.7
2026mibig,4004,107.4,19.8,19.8
2026mibig,5162,53.5,9.7,9.7
2026mibig,5182,55.2,8.1,8
2026mibig,5183,97.9,11.1,11.1
2026mibig,5213,62.6,10.8,10.8
2026mibig,5247,79.9,10.3,10.3
2026mibig,5525,62.5,11.6,11.6
2026mibig,5535,105.1,14,13.7
2026mibig,5704,77.7,12.1,11.6
2026mibig,5878,81.7,10.8,9.5
2026mibig,5982,112.2,13.7,13.7
2026mibig,6005,86.7,12.7,12.7
2026mibig,6077,104.7,15.3,15.3
2026mibig,6091,62.8,10.2,10.2
2026mibig,6098,92.4,13.2,13.2
2026mibig,6100,86.2,14.5,14.5
2026mibig,6122,94,12.3,12.3
2026mibig,6642,114.6,14.3,14.3
2026mibig,6963,54.8,10.4,10.4
2026mibig,7109,56.3,10.1,10.1
2026mibig,7160,111.9,14,14
2026mibig,7203,82.9,12.2,12.2
2026mibig,7794,63.5,11,11
2026mibig,7810,71.4,14.6,14
2026mibig,7911,68.7,10.7,10.7
2026mibig,8286,91.4,13.4,13.4
2026mibig,8611,109.6,14.7,14.7
2026mibig,9176,69.8,11,11
2026mibig,9673,91.1,12,12
2026mibig,9721,67.7,10.2,10.5
2026mibig,9731,61.1,10.3,10.3
2026mibig,9736,60.7,12.2,11
2026mibig,9771,114,10.6,10.7
2026mibig,10421,70.5,10.4,10.3
2026mibig,11435,68.9,7.8,7.3
2026mibkn,862,108.3,19.9,20.7
2026mibkn,1025,115.1,18.7,18.7
2026mibkn,1481,113.8,11.6,11.8
2026mibkn,2611,108.9,12.1,12.2
2026mibkn,3414,113.6,12.4,12.3
2026mibkn,3668,112.4,17.9,19.3
2026mibkn,3773,100.2,11.5,11.6
2026mibkn,4003,103.5,13.5,13.8
2026mibkn,4216,74.1,7.9,7.9
2026mibkn,4381,107.6,16.5,16.3
2026mibkn,4422,111.4,15.6,15.8
2026mibkn,4568,65.3,10.8,10.8
2026mibkn,5144,111.9,11,11.4
2026mibkn,5205,87.8,11.2,11.5
2026mibkn,5239,108,9.3,10.7
2026mibkn,5530,108.3,14.6,14.6
2026mibkn,5641,107.8,13.7,13.7
2026mibkn,5676,105.3,10.7,10.7
2026mibkn,6556,70,12.3,12.5
2026mibkn,7197,112.5,12.5,13.7
2026mibkn,7221,63.6,6.1,7.7
2026mibkn,7225,84.4,6,6
2026mibkn,7501,94,22.7,22.6
2026mibkn,7656,93.9,13.7,14.1
2026mibkn,8300,106.7,7.4,7.9
2026mibkn,9183,83.3,15.5,12.5
2026mibkn,9210,114.8,10.5,11
2026mibkn,9212,97.7,10.3,9.1
2026mibkn,9312,106.8,6.9,6.6
2026mibkn,9594,72.1,10.7,11
2026mibkn,9753,59,7.8,8.2
2026mibkn,11386,81.2,10.8,11.2
2026mibkn,11387,98,12.2,12.2
2026mibkn,11444,60,11,10.1
2026mibkn,11460,63.9,8.8,9
2026mibkn,11462,59.9,10.9,11
2026mibkn,11496,62.6,10.2,9.9
2026mibro,217,114.9,10.4,10.2
2026mibro,240,87,9.6,8.7
2026mibro,247,114.8,13.4,13.4
2026mibro,469,114.8,12.2,12.2
2026mibro,815,98.2,8.8,8.9
2026mibro,910,101.7,20.8,21.5
2026mibro,1189,103.4,14.3,14.4
2026mibro,1528,41,10.5,11.3
2026mibro,2620,108.3,12.8,12.8
2026mibro,2832,113.5,8.5,8.5
2026mibro,2834,106.7,14,13.1
2026mibro,3322,114.6,14.1,14.1
2026mibro,3604,114.2,11.9,12.5
2026mibro,4390,62.1,12,12
2026mibro,5050,104.9,13.2,13.3
2026mibro,5090,102.7,15,15
2026mibro,5263,67.4,10.5,10.5
2026mibro,5498,95.9,12.2,10.9
2026mibro,5901,61.8,13.5,14.2
2026mibro,5907,110.5,14.8,14.8
2026mibro,6029,100.2,18.7,18.7
2026mibro,6057,63.7,9.8,9.8
2026mibro,6101,94.2,11.3,11.3
2026mibro,6152,95.2,11.9,12.8
2026mibro,6528,96.7,11.6,11.6
2026mibro,6570,112.7,14.1,15
2026mibro,6618,71.8,12.1,11.5
2026mibro,6861,113,11,10.6
2026mibro,6914,108.2,18.1,18.1
2026mibro,7174,114.2,11.3,10.8
2026mibro,7769,110.1,12.6,12.4
2026mibro,8124,57.2,19.6,19.6
2026mibro,8179,94.8,10.6,10.6
2026mibro,8362,57.9,9.7,9.8
2026mibro,8427,67.7,10.7,10.9
2026mibro,9148,65,12.6,13.5
2026mibro,9182,111.2,10.8,10.8
2026mibro,9226,82.9,8.8,8.1
2026mibro,9572,114.1,18.4,18.7
2026mibro,10606,81.1,10.9,10.9
2026miche,27,112.1,14.7,14.9
2026miche,240,85.8,9.6,8.8
2026miche,302,112.8,7.1,6.3
2026miche,503,104.6,14.4,14.4
2026miche,1076,107.6,12.5,11.1
2026miche,1502,113.2,13.5,13.5
2026miche,2611,114.5,12.1,12.1
2026miche,3641,104.3,9.8,9.8
2026miche,3656,111.8,9.9,10
2026miche,3668,108.9,18.1,19.4
2026miche,4216,72.1,8.1,8.1
2026miche,5046,114.8,11.2,11.2
2026miche,5144,112.1,11.1,11.2
2026miche,5205,85.9,11,11.5
2026miche,5260,62,13.1,12.7
2026miche,5314,107.3,12.6,12.6
2026miche,5460,103.6,19.1,18.9
2026miche,5530,88.2,14.2,14.8
2026miche,5567,99.6,9.5,10.1
2026miche,5708,105.1,13.5,13.2
2026miche,6081,111.5,12.8,12.3
2026miche,6570,112.2,13.8,14.7
2026miche,6591,94.8,9.2,10.2
2026miche,7056,70.9,13.9,13.6
2026miche,7197,112.7,12.5,13.6
2026miche,7501,94.5,22.5,22.4
2026miche,8124,56,19.4,19.4
2026miche,8300,81.6,7.1,7.4
2026miche,8373,112,10,10.4
2026miche,8374,67.8,7.5,6.9
2026miche,8832,92.7,11.7,11.7
2026miche,9204,85.9,14,12.3
2026miche,9210,115.1,10.1,10.7
2026miche,9618,52.3,10.4,10.7
2026miche,10285,73.3,9.6,9.6
2026miche,10607,72.9,10.4,10.3
2026miche,11387,62.5,12.1,12.1
2026miche,11437,63.4,12.2,12.2
2026miche,11505,59.4,10.1,10.1
2026micmp1,27,112.7,14.1,14.9
2026micmp1,51,113.2,14.6,14.6
2026micmp1,67,114.1,18.1,17.5
2026micmp1,85,113.1,12,12.2
2026micmp1,217,111.4,10.3,10.4
2026micmp1,245,114.9,13.1,13.1
2026micmp1,1025,114.7,18.7,19
2026micmp1,1189,109.6,14.5,14.5
2026micmp1,1502,114.2,13.7,13.7
2026micmp1,1506,103.3,10.7,10.8
2026micmp1,2054,115,13.7,14.1
2026micmp1,2075,114.9,11.8,12.4
2026micmp1,3357,110.8,10,10
2026micmp1,3620,114.7,17.2,17.1
2026micmp1,3668,114.8,18.1,19.5
2026micmp1,3875,110.9,12.4,13.4
2026micmp1,4362,114.1,20.6,20.7
2026micmp1,4381,114.8,16.6,16.6
2026micmp1,4680,110.5,12.6,12.9
2026micmp1,5144,112.6,11,11.4
2026micmp1,5505,100.4,14,14.7
2026micmp1,5567,99.4,10.1,10.5
2026micmp1,5660,103.6,11.7,12.3
2026micmp1,5676,103,10.8,10.8
2026micmp1,5907,115,8.8,8.9
2026micmp1,6002,106.7,13.2,13.5
2026micmp1,6088,114.4,11.6,12.5
2026micmp1,6121,111.7,11.4,11.2
2026micmp1,7160,112.4,14.3,14.3
2026micmp1,7220,104.8,11.6,12.4
2026micmp1,7769,112.2,12.5,12.3
2026micmp1,8126,104.3,14.8,14.9
2026micmp1,8352,81.3,12.9,12.9
2026micmp1,8517,115,13.3,13.4
2026micmp1,9572,109,18,18.4
2026micmp1,9771,111,10.1,10.5
2026micmp1,10633,106.4,18.2,18.2
2026micmp1,10666,114.4,13.1,12.9
2026micmp1,10978,77.1,10.5,10.3
2026micmp1,11493,62.4,10.7,10.5
2026micmp2,201,113,14.8,14.8
2026micmp2,226,113.6,13.1,13.4
2026micmp2,244,114.9,12.1,11.6
2026micmp2,247,110.7,13.6,13.6
2026micmp2,302,114.9,13.1,13.1
2026micmp2,469,114.2,13.4,13.5
2026micmp2,862,114.8,19.9,20.1
2026micmp2,1023,114.3,11.1,11
2026micmp2,1076,109.2,12.9,11.7
2026micmp2,1498,110.9,17.6,17.7
2026micmp2,1684,111,15.9,15.9
2026micmp2,2586,114.6,13.2,13.1
2026micmp2,2611,111.8,12.3,12.4
2026micmp2,2767,113.2,16.1,16
2026micmp2,3414,114.5,12.6,12.4
2026micmp2,3572,112.2,12.7,12.7
2026micmp2,3602,96.5,11,10.8
2026micmp2,3656,114.8,10.3,10.3
